original_idx,index,wav_path,ref_wav_path,prompt_text,text,wav_asr_text,wer
1021,1021,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_597578-common_voice_en_597583.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_597578.wav,Strip down the rig until you know exactly where the error is located.,Wilma’s gone cat sitting again for the weekend if you want to come over.,We'll must go on cat sitting again for the weekend if you want to come over.,0.2857142857142857
899,899,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_35130119-common_voice_en_35130116.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_35130119.wav,The group had a huge influence on the emerging free tekno subculture.,A classic and well established explanation is based on Clar's rule.,A classic and well-established explanation is based on Clary's Rule,0.2727272727272727
46,46,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_17274522-common_voice_en_17274525.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_17274522.wav,"Palm oil is cheap, but workers on illegal plantations get exploited and huge areas of jungle get destroyed for its production.","Ninety five lines and no more, that's it.","95 lines and no more, that's it.",0.25
139,139,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_18229682-common_voice_en_18229679.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_18229682.wav,The fruit of a fig tree is apple shaped.,Rated M for mature.,Rated N for Mature.,0.25
140,140,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_18229682-common_voice_en_18229695.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_18229682.wav,The fruit of a fig tree is apple shaped.,The course of love never did run smooth.,"""'The course of love never did run smooth,'",0.25
207,207,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_19017623-common_voice_en_19017624.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_19017623.wav,The largest cities in Belgium have the possibility of installing urban districts.,"However, he died in the fire and explosion.","However, he died in the fire on the explosion.",0.25
299,299,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_19690002-common_voice_en_19690003.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_19690002.wav,A subsequent view of the scene shows something not viewed before.,Former Australian captain Steve Waugh referred to the practice as 'mental disintegration'.,Former Australian Captain Steve Wu referred to the practice as mental disintegration.,0.25
416,416,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_20065698-common_voice_en_20065701.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_20065698.wav,"One of the most common forms of this strain is eclipsing hydrogen, in Alkanes.",Flood gates were erected and drainage systems improved.,Floodgates were erected and drainage systems improved.,0.25
612,612,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_23176027-common_voice_en_23176029.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_23176027.wav,It is positioned on the boundary between the White and Dark Peak character areas.,They then applied the defined solarisation curve to real time video images.,They then applied the defined solarization curve to real-time video images.,0.25
210,210,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_19043111-common_voice_en_19043109.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_19043111.wav,"In general, the legal ""situs"" of the property is where the instrument is located.","Saint Julian's itself is named after Saint Julius of Caerleon, the Roman martyr.","St. Julian's itself is named after St. Julius of Caelion, the Roman martyr.",0.23076923076923078
563,563,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_21762342-common_voice_en_21762343.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_21762342.wav,This was her most successful album recorded with Universal Music.,Houston's recording industry had become the center of Texas R and B music.,Houston's recording industry had become the center of Texas R&B music.,0.23076923076923078
1028,1028,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_606373-common_voice_en_606376.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_606373.wav,He had come to the town only to find a woman who could interpret his dream.,So what should I do now? the boy asked.,"""'So what should I do now?' the boy asked.",0.2222222222222222
19,19,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_15265-common_voice_en_15268.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_15265.wav,Man with guitar holding a microphone in one hand and extending his other arm.,A sky jumper falls toward the sea and the earth.,A skyjumper falls toward the sea and the earth.,0.2
56,56,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_17288057-common_voice_en_17288056.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_17288057.wav,"They both stormed out, neither thinking to fill me in on where they were going.",Where did that come from?,Where did they come from?,0.2
172,172,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_18735317-common_voice_en_18735316.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_18735317.wav,The facade is constructed from white Portland stone and red brick.,Tao uses his song as weapon to bitterly criticize terrorists.,Tau uses his song as weapon to bitterly criticise terrorists.,0.2
343,343,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_19756059-common_voice_en_19756060.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_19756059.wav,"In addition, smaller groups made up of orchestra personnel perform throughout the year.",The website has since replaced the word 'hell' with 'heck'.,The website has since replaced the word hell with heck.,0.2
357,357,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_19791537-common_voice_en_19791538.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_19791537.wav,Luther and Cody Dickinson's father was the Memphis musician and record producer Jim Dickinson.,It was also the first mission of the Luna programme.,It was also the first mission of the lunar program.,0.2
855,855,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_32144882-common_voice_en_32144885.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_32144882.wav,It is located from the Wellington central business district.,Death is the great equalizer.,Death is the great equaliser.,0.2
143,143,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_18313326-common_voice_en_18313324.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_18313326.wav,I know that you can't forget how I hurt you,It seemed the ordained order of things that dogs should work.,"It seemed the ordained order of things, the dog should work,",0.18181818181818182
392,392,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_19977527-common_voice_en_19977528.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_19977527.wav,Foulds had the most experience and supported traditional party positions.,Copperopolis was on the main stage road from Sonora to Sacramento.,Copperall Palace was on the main stage road from Sonora to Sacramento.,0.18181818181818182
400,400,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_19992384-common_voice_en_19992617.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_19992384.wav,She is now the second vice president of the National Assembly.,"He then moved to Belgian side Lierse, but has since retired.","He then moved to Belgium side Lius, but has since retired.",0.18181818181818182
414,414,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_20049071-common_voice_en_20049072.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_20049071.wav,Previous shows featured a standard credit with Scheimer's name above Prescott's.,The club was named after the Catholic martyr Saint John Fisher.,The flub was named after the Catholic martyr St John Fisher.,0.18181818181818182
506,506,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_20907200-common_voice_en_20907217.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_20907200.wav,Approximately half of the students and faculty members come from overseas.,It is also commonly used in informal and business spoken conversations.,It is also commonly used in informal and business-spoken conversations.,0.18181818181818182
682,682,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_24518104-common_voice_en_24518111.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_24518104.wav,Sweezy received the bronze star for his role in the war.,The absence of 'a' waves may be seen in atrial fibrillation.,The absence of airwaves may be seen in atrial fibrillation.,0.18181818181818182
820,820,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_29264353-common_voice_en_29264354.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_29264353.wav,Subsystem failure rate budgets are assigned so that hazard probability limits can be met.,"Fredrik Johansson is featured in the documentary film ""Beyond the Game"".",Frederick Johansen is featured in the documentary film Beyond the Game.,0.18181818181818182
952,952,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_487077-common_voice_en_487076.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_487077.wav,"As they began to decorate the hallway, a silhouette appeared in the doorway.",The runway seems way to short for this type of plane.,The runway seems way too short for this type of claim.,0.18181818181818182
1008,1008,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_586741-common_voice_en_586737.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_586741.wav,Today the committee implicitly decided to extend the arsenal.,Please search The Best of Steely Dan: Then and Now saga.,"Please search the best of Steely Dane then and now, Sega.",0.18181818181818182
1009,1009,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_586741-common_voice_en_586742.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_586741.wav,Today the committee implicitly decided to extend the arsenal.,Do unto others as you would have them do to you.,"""'Do unto others as you would have them do to you.'",0.18181818181818182
1036,1036,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_631730-common_voice_en_631729.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_631730.wav,"At other times, at a crucial moment, I make it easier for things to happen.","There is no wine in this country, the young man said.","""'There is no wine in this country,' the young man said.",0.18181818181818182
1070,1070,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_691678-common_voice_en_691681.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_691678.wav,He stood irresolute for a moment and then scrambled out of the pit.,I have the diet of a kid who found twenty dollars.,I have the diet of a kid who found $20.,0.18181818181818182
1076,1076,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_75329-common_voice_en_75332.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_75329.wav,I would have won the Junior Olympics if not for those medaling kids.,I have the diet of a kid who found twenty dollars.,I have the diet of a kid who found $20.,0.18181818181818182
57,57,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_17288057-common_voice_en_17288059.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_17288057.wav,"They both stormed out, neither thinking to fill me in on where they were going.",Did you really think it through?,Did you really think you through?,0.16666666666666666
93,93,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_17727889-common_voice_en_17727905.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_17727889.wav,Such an oscillating dipole moment can exchange energy with an electromagnetic wave of same frequency.,My grandmother has Type One diabetes.,My grandmother has type 1 diabetes.,0.16666666666666666
182,182,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_18786931-common_voice_en_18786930.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_18786931.wav,"Despite his achievement, Verner considered himself only an amateur of German philology.","Immediately following the demerger, Williams Holdings launched a takeover bid for Racal.","Immediately following the demurga, Williams Holdings launched a takeover bid for Raycol.",0.16666666666666666
211,211,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_19043111-common_voice_en_19043119.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_19043111.wav,"In general, the legal ""situs"" of the property is where the instrument is located.","Ford is approximately two hundred years old, as supported by the books.",Ford is approximately 200 years old as supported by the books.,0.16666666666666666
364,364,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_19845853-common_voice_en_19845856.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_19845853.wav,The western rim of Roche has been somewhat distorted and straightened.,The ninth member is the State Superintendent of Education who is ex-officio.,The ninth member is the State Superintendent of Education who is ex officio.,0.16666666666666666
381,381,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_19944630-common_voice_en_19944633.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_19944630.wav,He chairs the executive committee of council and the community policing committee.,The ions pass through the selectivity filter of the K channel pore.,The ions pass through the selectivity filter of the K-channel pore.,0.16666666666666666
384,384,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_19951090-common_voice_en_19951091.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_19951090.wav,It maintains a Civic Association and a private park and swim club for residents.,"Fun, crazy stuff all the way.",Found crazy stuff all the way.,0.16666666666666666
479,479,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_20688082-common_voice_en_20688081.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_20688082.wav,Populations of the same species from different latitudes may also follow Allen's rule.,"Following the group's split, Nash has stayed out of the public eye.","Following the group's split, Nasha stayed out of the public eye.",0.16666666666666666
485,485,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_20735803-common_voice_en_20735807.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_20735803.wav,"It lies entirely in the county of Lincolnshire, England.","The battle was of medium term significance, consolidating Royalist control of Yorkshire.","The battle was of medium-term significance, consolidating royalist control of Yorkshire.",0.16666666666666666
598,598,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_22777850-common_voice_en_22777868.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_22777850.wav,"A book titled ""Service Through Knowledge and Character"" details the school's history.","He was known as ""Roaring Bill"".",He was known as Roaring Bell.,0.16666666666666666
807,807,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_28638628-common_voice_en_28638717.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_28638628.wav,The borders of the municipality have not changed since that time.,"Grant remarked after his sentence was passed: ""Fifteen years for fifteen words"".","Grant remarked after his sentence was passed, ""'Fifteen years for fifteen words.'""",0.16666666666666666
1000,1000,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_571544-common_voice_en_571548.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_571544.wav,"It seemed such a little thing, so bright and small and still.",Strange images passed through my mind.,Strange images pass through my mind.,0.16666666666666666
1044,1044,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_648428-common_voice_en_648427.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_648428.wav,He was more certain of it than of anything in the world.,And he hadn't perceived them because he had become accustomed to them.,and he hadn't perceived them because he had become a custom to them.,0.16666666666666666
1079,1079,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_86172-common_voice_en_86173.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_86172.wav,"I generally like jazz, but this record is oversteered – thanks loudness war!","Even if you're an expert, reading all of it is often not feasible due to lack of time.","Even if you are inspired, reading all of it is often not feasible due to lack of time.",0.16666666666666666
158,158,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_18554437-common_voice_en_18554439.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_18554437.wav,"She was singularly quick, singularly receptive.",Can't you see the scene? he asked with a queer smile of excitement.,"""'Can't you see the scene?' he asked, with a queer smile of excitement.",0.15384615384615385
432,432,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_20232770-common_voice_en_20232772.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_20232770.wav,It is used to punish a wrong by going outside of the law.,He was also invited to play several dates with W. C. Handy's Orchestra.,He was also invited to play several dates with WC Handy's orchestra,0.15384615384615385
494,494,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_20812017-common_voice_en_20812019.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_20812017.wav,"The historical centre of the town, with narrow streets, is still intact.","Howe remarked, She was often exasperated by my tenaciously quiet brand of advocacy.",I'll remark she was often exasperated by my tenaciously quiet brand of advocacy.,0.15384615384615385
505,505,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_20907200-common_voice_en_20907214.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_20907200.wav,Approximately half of the students and faculty members come from overseas.,Assume that a star radiates a continuous light spectrum up to X rays.,Assume that a star radiates a continuous light spectrum up to X-rays.,0.15384615384615385
